beat_id,percent,date
1,196,2014
1,231,2015
1,4,2016
1,1,2017
1,218,2018
1,224,2019
1,172,2020
2,65,2014
2,2,2015
2,267,2016
2,264,2017
2,26,2018
2,93,2019
3,1,2015
4,70,2014
4,32,2015
4,78,2016
4,23,2017
4,1,2018
4,2,2019
5,1,2019
5,1,2020
6,189,2014
6,196,2015
6,204,2016
6,242,2017
6,445,2018
6,276,2019
6,109,2020
7,684,2014
7,733,2015
7,475,2016
7,655,2017
7,685,2018
7,611,2019
7,445,2020
8,2406,2014
8,3036,2015
8,2942,2016
8,2350,2017
8,1966,2018
8,2045,2019
8,2124,2020
9,41,2014
9,3,2016
9,30,2017
9,35,2018
9,43,2019
9,175,2020
10,220,2014
10,51,2015
12,69,2014
12,9,2015
12,1,2016
12,106,2017
12,195,2018
12,131,2019
12,4,2020
14,1,2015
15,18,2014
15,4,2015
15,61,2016
15,48,2017
15,156,2018
15,119,2019
15,1,2020
18,2,2019
18,521,2020
22,665,2014
22,612,2015
22,1077,2016
22,949,2017
22,1011,2018
22,829,2019
22,322,2020
23,1,2015
23,4,2016
23,178,2017
23,699,2018
23,598,2019
23,53,2020
24,36,2014
24,16,2015
24,15,2016
24,11,2017
24,301,2018
24,379,2019
24,192,2020
25,1,2014
25,1,2017
25,40,2019
25,103,2020
26,32,2019
26,99,2020
27,32,2020
29,2,2020
30,1,2015
30,6,2020
32,409,2014
32,458,2015
32,413,2016
32,416,2017
32,221,2018
32,208,2019
32,116,2020
33,1,2017
33,1,2020
34,0,2017
35,2,2015
35,1,2016
35,254,2019
35,264,2020
39,21,2014
39,13,2018
39,1,2019
39,6,2020
41,41,2020
42,224,2014
42,196,2015
42,52,2016
42,245,2017
42,130,2018
42,115,2019
42,62,2020
43,118,2014
43,67,2015
43,123,2016
43,135,2017
43,220,2018
43,144,2019
43,141,2020
44,42,2014
44,33,2015
44,89,2016
44,78,2017
44,124,2018
44,118,2019
44,20,2020
45,749,2014
45,636,2015
45,869,2016
45,979,2017
45,1087,2018
45,1216,2019
45,1020,2020
46,426,2014
46,479,2015
46,359,2016
46,288,2017
46,567,2018
46,701,2019
46,129,2020
47,699,2014
47,669,2015
47,760,2016
47,768,2017
47,907,2018
47,1004,2019
47,962,2020
48,287,2014
48,381,2015
48,405,2016
48,420,2017
48,622,2018
48,717,2019
48,129,2020
49,755,2014
49,704,2015
49,805,2016
49,1037,2017
49,1023,2018
49,1069,2019
49,865,2020
50,405,2014
50,305,2015
50,236,2016
50,451,2017
50,304,2018
50,514,2019
50,121,2020
51,681,2014
51,559,2015
51,594,2016
51,813,2017
