trr_rd_no,statute,description,subject_no,trr_report_id
HZ223710,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19294233.0,96449
HZ223710,720 ILCS 5.0/18-1-B-1,ROBBERY - AGG ROBBERY/INDICATE ARM W/FIR ,19294233.0,96449
HZ223710,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19294233.0,96449
HZ223710,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19294233.0,96450
HZ223710,720 ILCS 5.0/18-1-B-1,ROBBERY - AGG ROBBERY/INDICATE ARM W/FIR ,19294233.0,96450
HZ223710,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19294233.0,96450
HZ224337,10-8-515,SOLICITING UNLAWFUL BUSINESS,19294564.0,96453
HZ224337,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19294564.0,96453
HZ224337,720 ILCS 5.0/31-4.5-A,OBSTRUCTING IDENTIFICATION,19294564.0,96453
HZ224337,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19294564.0,96453
HZ224337,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19294564.0,96453
HZ224437,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19294608.0,96454
HZ224437,720 ILCS 550.0/4-C,CANNABIS - POSSESS 10-30 GRMS,19294608.0,96454
HZ224437,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19294608.0,96454
HZ224696,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,19294827.0,96462
HZ224696,720 ILCS 5.0/24-1-A-4,UUW - CARRY/POSSESS FIREARM/1ST,19294827.0,96462
HZ224696,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19294827.0,96462
HZ225500,625 ILCS 5.0/12-603.1,DRIVER/SEATBELT/CHILD 6<16,19295112.0,96465
HZ225500,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19295112.0,96465
HZ225500,625 ILCS 5.0/6-303-A,DRIVING ON REVOKED LICENSE,19295112.0,96465
HZ225500,720 ILCS 5.0/21-5-A,CRIM TRESPASS TO STATE LAND   ,19295112.0,96465
HZ225500,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295112.0,96465
HZ225500,625 ILCS 5.0/12-603.1,DRIVER/SEATBELT/CHILD 6<16,19295112.0,96466
HZ225500,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19295112.0,96466
HZ225500,625 ILCS 5.0/6-303-A,DRIVING ON REVOKED LICENSE,19295112.0,96466
HZ225500,720 ILCS 5.0/21-5-A,CRIM TRESPASS TO STATE LAND   ,19295112.0,96466
HZ225500,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295112.0,96466
HZ225500,625 ILCS 5.0/12-603.1,DRIVER/SEATBELT/CHILD 6<16,19295112.0,96467
HZ225500,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19295112.0,96467
HZ225500,625 ILCS 5.0/6-303-A,DRIVING ON REVOKED LICENSE,19295112.0,96467
HZ225500,720 ILCS 5.0/21-5-A,CRIM TRESPASS TO STATE LAND   ,19295112.0,96467
HZ225500,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295112.0,96467
HZ225959,720 ILCS 5.0/24-1.7-A,ARMED HABITUAL CRIMINAL,19295302.0,96470
HZ225959,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295302.0,96470
HZ225959,720 ILCS 570.0/402-A-2-A,PCS - POSSESS 15<100 GRAMS COCAINE,19295302.0,96470
HZ225959,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19295302.0,96470
HZ226248,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295355.0,96471
HZ226248,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19295355.0,96471
HZ226248,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19295355.0,96472
HZ226248,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19295355.0,96472
HZ226282,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19295397.0,96473
HZ226282,720 ILCS 550.0/4-A,CANNABIS - POSSESS LESS THAN 2.5 GRMS,19295397.0,96474
HZ226227,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,19295423.0,96475
