rank,star,status,status_datetime,officer_age,officer_unit_at_incident,trr_id,officer_id
OFFICER,4502.0,,2016-04-12 11:53:00-05:00,36.0,,96449,0
SERGEANT,1543.0,,2016-04-13 12:02:00-05:00,34.0,,96449,0
LIEUTENANT,330.0,,2016-04-13 02:36:00-05:00,55.0,,96449,0
OFFICER,17679.0,,2016-04-12 11:49:00-05:00,31.0,,96450,0
SERGEANT,1543.0,,2016-04-12 11:50:00-05:00,34.0,,96450,0
LIEUTENANT,330.0,,2016-04-13 02:36:00-05:00,55.0,,96450,0
OFFICER,18637.0,,2016-04-13 02:31:00-05:00,31.0,,96451,0
SERGEANT,1029.0,,2016-04-13 02:40:00-05:00,46.0,,96451,0
LIEUTENANT,258.0,,2016-04-13 02:45:00-05:00,47.0,,96451,0
OFFICER,8277.0,,2016-04-13 01:38:00-05:00,39.0,,96453,0
SERGEANT,1974.0,,2016-04-13 01:39:00-05:00,42.0,,96453,0
LIEUTENANT,495.0,,2016-04-13 02:04:00-05:00,58.0,,96453,0
OFFICER,11321.0,,2016-04-13 06:24:00-05:00,32.0,,96454,0
SERGEANT,1433.0,,2016-04-13 06:26:00-05:00,40.0,,96454,0
LIEUTENANT,714.0,,2016-04-13 07:52:00-05:00,51.0,,96454,0
LIEUTENANT,537.0,,2016-04-13 09:25:00-05:00,45.0,,96462,0
CAPTAIN,93.0,,2016-04-13 09:26:00-05:00,46.0,,96462,0
CAPTAIN,93.0,,2016-04-13 09:41:00-05:00,46.0,,96462,0
OFFICER,3909.0,,2016-04-14 12:18:00-05:00,47.0,,96465,0
SERGEANT,1876.0,,2016-04-14 12:20:00-05:00,58.0,,96465,0
LIEUTENANT,228.0,,2016-04-14 01:55:00-05:00,53.0,,96465,0
OFFICER,11393.0,,2016-04-14 12:32:00-05:00,25.0,,96466,0
SERGEANT,1876.0,,2016-04-14 12:41:00-05:00,58.0,,96466,0
LIEUTENANT,228.0,,2016-04-14 01:59:00-05:00,53.0,,96466,0
OFFICER,11370.0,,2016-04-14 12:38:00-05:00,24.0,,96467,0
SERGEANT,1876.0,,2016-04-14 12:41:00-05:00,58.0,,96467,0
