weapon_type,weapon_type_description,firearm_make,firearm_model,firearm_barrel_length,firearm_caliber,total_number_of_shots,firearm_reloaded,number_of_cartridge_reloaded,handgun_worn_type,handgun_drawn_type,method_used_to_reload,sight_used,protective_cover_used,discharge_distance,object_struck_of_discharge,discharge_position,trr_id
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,96453
TASER (DRIVE STUN MODE),,,,,,,True,,,,,True,,,,,96465
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,96475
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,96483
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,96525
CHEMICAL WEAPON,,,,,,,True,,,,,True,,,,,96558
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,96565
TASER (DRIVE STUN MODE),,,,,,,True,,,,,True,,,,,96576
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,96576
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,96591
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,96596
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,96608
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,96618
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,96634
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,96644
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,96656
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,96673
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,96687
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,96692
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,96722
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,96727
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,96729
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,96740
CHEMICAL WEAPON,,,,,,,True,,,,,True,,,,,96759
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,96759
CHEMICAL WEAPON,,,,,,,True,,,,,True,,,,,96760
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,96772
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,96773
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,96785
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,96794
CHEMICAL WEAPON,,,,,,,True,,,,,True,,,,,96806
OTHER (SPECIFY),,,,,,,True,,,,,True,,,,,96806
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,96830
TASER (PROBE DISCHARGE),,,,,,,True,,,,,True,,,,,96846
