id,unit_name,description,tags,active,created_at,updated_at,cnt,rank
1,000,Area 0,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
2,001,District 001,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
3,002,District 002,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
4,003,District 003,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
5,004,District 004,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
6,005,District 005,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
7,006,District 006,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
8,007,District 007,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
9,008,District 008,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
10,009,District 009,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
11,010,District 010,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
12,011,District 011,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
13,012,District 012,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
14,013,District 013,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
15,014,District 014,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
16,015,District 015,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
17,016,District 016,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
18,017,District 017,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
19,018,District 018,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
20,019,District 019,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
21,020,District 020,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
22,021,District 021,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
23,022,District 022,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
24,023,District 023,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
25,024,District 024,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
26,025,District 025,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
27,026,Executive Officers Unit,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
246,028,,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
247,031,,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
28,032,Caps Crt Advocacy,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
248,040,,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
249,041,,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
29,043,Communications C/G,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
30,044,Recruit Training Section,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
31,045,District Reinstatement Unit,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
32,046,Loop Traffic C/G,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
250,047,,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
33,048,Lincoln Park Zoo C/G,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
34,049,Unknown,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
35,050,Airport Law Enforcement Section - North,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
36,051,Airport Law Enforcement Section - South,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
251,052,,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
37,053,Kennedy Construction,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
252,054,,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
38,055,Mounted Unit,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
253,056,,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
40,057,Detail Unit,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,2,1
41,058,Spec Func Canine,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
42,059,Marine Operations Unit,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
43,060,Helicopter Operations Unit,"",true,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
44,061,Area 1 Pat Narc Prog,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
45,062,Area 2 Pat Narc Prog,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
46,063,Area 3 Pat Narc Prog,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
254,064,,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
47,065,Area 5 Pat Narc Prog,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
48,066,Area 6 Pat Narc Prog,"",,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
49,071,Youth Division Area1,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
50,072,Youth Division Area2,"",false,2019-01-09 04:42:10.881224 +00:00,2019-01-09 04:42:10.919043 +00:00,1,1
